AAU6631,WASHER-THRUS,4.2400,1,2H,,0.0000,3.5404
AAU6632,WASHER-THRUS,3.5900,1,2H,,0.0000,2.9976499999999997
AAU6633,WASHER-THRUS,5.5400,1,2H,,0.0000,4.6259
AAU6638,BUSH-GEARBOX,8.1300,1,ZJ,,0.0000,6.5853
AAU6640,KIT-BUSHING,6.0200,1,4J,,0.0000,4.8762
AAU6642,KIT-SNAPRIN,10.9100,1,4J,,0.0000,8.8371
AAU6644,BEARING-MAIN,1.5400,1,4H,,0.0000,1.2859
AAU6647,KIT-THRUSTB,10.2400,1,ZJ,,0.0000,8.2944
AAU6654,RING-OILSEA,3.5800,1,YJ,,0.0000,2.8998
AAU6661,PISTON-SERVO,10.0900,1,YJ,,0.0000,8.1729
AAU6662,PLATE-CLUTCH,11.7500,1,4J,,0.0000,9.5175
AAU6674,SHAFT-MANUAL,47.0000,1,ZJ,,0.0000,38.07
AAU6676,RETAINER,2.2700,1,YJ,,0.0000,1.8387
AAU6682,PISTON-ACUMU,37.8700,1,2O,,0.0000,30.296
AAU6690,FILTER,19.6900,1,4J,,0.0000,15.948900000000002
AAU6693,SCREW,1.3100,1,2H,,0.0000,1.09385
AAU6699,BODY-OILPUM,98.7500,1,2O,,0.0000,79.0
AAU6704,UNIT-VACUUM,77.6300,1,4J,,0.0000,62.88029999999999
AAU6721,TUBE,9.5000,1,4K,,0.0000,7.695
AAU6723,BRACKET-BUMP,0.5000,1,4K,,0.0000,0.405
AAU6839,KIT-B/MSTER,23.7400,1,4M,,0.0000,18.5172
AAU8104,MOTORGEAR,30.4200,1,2J,,0.0000,24.6402
AAU8434J,GASKET,4.9600,1,4J,,0.0000,4.0176
AAU9522,SEAL-OIL,1.6000,1,4K,,0.0000,1.296
AAU9529,WASHER-THRUS,7.4300,1,4K,,0.0000,6.0183
AAU9531,WASHER-THRUS,10.7700,1,2H,,0.0000,8.99295
AAU9532,WASHER-THRUS,8.8200,1,2H,,0.0000,7.3647
AAU9533,WASHER-THRUS,8.8200,1,2H,,0.0000,7.3647
AB604021J,SCREW-SELFT,1.7999999999999998,10,4H,,0.0000,1.503
AB604041J,SCREW-PANH,1.2,10,4H,,0.0000,1.002
AB604045J,SCREW,1.9,10,2J,,0.0000,1.539
AB606021J,SCREW,1.1,10,4H,,0.0000,0.9185000000000001
AB606031J,SCREW-SELFT,1.1,10,4H,,0.0000,0.9185000000000001
AB606035J,SCREW-NOPLT,2.0,10,2J,,0.0000,1.62
AB606041J,SCREW,1.0,10,4H,,0.0000,0.835
AB606045J,SCREW,0.4,10,4H,,0.0000,0.334
AB606061J,SCREW-SELFT,0.6,10,2H,,0.0000,0.501
AB608031J,SCREW-SELFT,2.0,10,2H,,0.0000,1.67
AB608061J,SCREW-SELFT,2.2,10,2J,,0.0000,1.782
AB608064,SCREW-SELFT,1.1500000000000001,5,2J,,0.0000,0.9315000000000001
AB608065J,SCREW,0.3,10,4H,,0.0000,0.2505
AB608081J,SCREW,0.8999999999999999,10,4H,,0.0000,0.7515
AB610031J,SCREW,1.3,10,2J,,0.0000,1.053
AB610041J,SCREW-SELFT,0.8999999999999999,5,4H,,0.0000,0.7515
AB610051J,SCREW-FLANGE,3.5999999999999996,10,4H,,0.0000,3.006
AB610052,SCREW-SELFT,1.7999999999999998,10,4K,,0.0000,1.4579999999999997
AB610054,SCREW-SELFT,0.3500,1,2J,,0.0000,0.2835
AB610081J,SCREW,1.7999999999999998,10,4H,,0.0000,1.503
AB610101J,SCREW,4.5,25,4H,,0.0000,3.7575000000000003
AB610121J,SCREW,2.0,10,4H,,0.0000,1.67
AB612061J,SCREW-SELFD,0.8999999999999999,5,4H,,0.0000,0.7515
AC604021J,SCREW,0.8999999999999999,5,4H,,0.0000,0.7515
AC604031,SCREW-SELFT,0.1800,1,4H,,0.0000,0.1503
AC606022J,SCREW-SELFT,1.5,10,4H,,0.0000,1.2525
AC606043J,SCREW-SELFT,0.4,5,4H,,0.0000,0.334
AC606044J,SCREW,0.4,10,4H,,0.0000,0.334
AC606051J,SCREW,0.3,10,4H,,0.0000,0.2505
